HIP,RA,Dec,Vmag,pmRA,pmDE,Plx,RV
2944,9.34384947,-37.28808005,6.99,551.00,-41.70,24.28,-19.40
2948,9.36000049,40.33237779,6.85,-16.35,-2.65,5.30,-11.00
2954,9.37704678,3.13535107,6.43,90.43,-59.74,4.48,8.76
2965,9.41974402,21.09973047,6.84,71.56,-18.47,6.32,-15.62
2968,9.44041860,72.89485346,6.96,6.90,-1.70,2.11,-15.10
2994,9.51892801,-0.50352917,6.64,-41.91,-10.74,4.10,-55.20
3025,9.63269260,-20.29657854,6.73,22.04,7.69,3.97,7.70
3030,9.63934272,60.32478192,6.77,-3.30,-0.78,0.61,-24.63
3031,9.63894077,29.31175144,4.34,-231.80,-253.30,19.91,-84.05
3042,9.66924121,-73.13761845,6.87,-22.46,5.35,8.57,21.20
3045,9.67311851,46.95679872,6.72,-51.20,4.20,8.91,-46.60
3056,9.70326150,-25.10781885,6.43,57.04,-21.24,3.65,35.40
3058,9.70530786,59.82615132,6.72,19.40,-3.07,3.95,-23.50
3070,9.73962100,26.32375630,6.92,0.13,-20.83,3.50,-3.12
3083,9.79122542,49.35458862,5.45,8.54,-2.45,1.56,-6.60
3084,9.79714449,-57.96786156,6.81,67.37,-31.05,12.68,24.30
3092,9.83198236,30.86102393,3.27,121.00,-85.30,30.91,-11.00
3093,9.84085866,21.25047245,5.88,-461.22,-369.99,90.42,-33.28
3114,9.91457696,-85.70087433,6.81,172.63,-11.69,6.94,12.00
